HourOfYear,PV_kWh_per_kWp,,
1243,0,0,
1244,0,0,
1245,0,0,
1246,0,0,
1247,0,0,
1248,0,0,
1249,0,0,
1250,0,0,
1251,0,0,
1252,0,0,
1253,0,0,
1254,0,0,
1255,0,0,
1256,0,0,
1257,0.01424825,5.6993,
1258,0.03086,12.344,
1259,0.0284175,11.367,
1260,0.0531,21.24,
1261,0.03939,15.756,
1262,0.0342875,13.715,
1263,0.0728525,29.141,
1264,0.0471225,18.849,
1265,0.0299875,11.995,
1266,0.00223225,0.8929,
1267,0,0,
1268,0,0,
1269,0,0,
1270,0,0,
1271,0,0,
1272,0,0,
1273,0,0,
1274,0,0,
1275,0,0,
1276,0,0,
1277,0,0,
1278,0,0,
1279,0,0,
1280,0,0,
1281,0.009528,3.8112,
1282,0.016631,6.6524,
1283,0.0413,16.52,
1284,0.0567525,22.701,
1285,0.0818325,32.733,
1286,0.0593175,23.727,
1287,0.0944725,37.789,
1288,0.0676,27.04,
1289,0.1189425,47.577,
1290,0.0080015,3.2006,
1291,0,0,
1292,0,0,
1293,0,0,
1294,0,0,
1295,0,0,
1296,0,0,
1297,0,0,
1298,0,0,
1299,0,0,
1300,0,0,
1301,0,0,
1302,0,0,
1303,0,0,
1304,0,0,
1305,0.0176345,7.0538,
1306,0.12016,48.064,
1307,0.214035,85.614,
1308,0.26765,107.06,
1309,0.33085,132.34,
1310,0.36305,145.22,
1311,0.2568,102.72,
1312,0.13846,55.384,
1313,0.09185,36.74,
1314,0.02844,11.376,
1315,0,0,
1316,0,0,
1317,0,0,
1318,0,0,
1319,0,0,
1320,0,0,
1321,0,0,
1322,0,0,
1323,0,0,
1324,0,0,
1325,0,0,
1326,0,0,
1327,0,0,
1328,0,0,
1329,0.0374425,14.977,
1330,0.1504075,60.163,
1331,0.2415475,96.619,
1332,0.2078125,83.125,
1333,0.2103975,84.159,
1334,0.1111025,44.441,
1335,0.0927,37.08,
1336,0.067395,26.958,
1337,0.0372075,14.883,
1338,0.005023,2.0092,
1339,0,0,
1340,0,0,
1341,0,0,
1342,0,0,
1343,0,0,
1344,0,0,
1345,0,0,
1346,0,0,
1347,0,0,
1348,0,0,
1349,0,0,
1350,0,0,
1351,0,0,
1352,0,0,
1353,0.0495,19.8,
1354,0.076865,30.746,
1355,0.080255,32.102,
1356,0.0776575,31.063,
1357,0.09315,37.26,
1358,0.099065,39.626,
1359,0.1108225,44.329,
1360,0.09579,38.316,
1361,0.0761675,30.467,
1362,0.01086025,4.3441,
1363,0,0,
1364,0,0,
1365,0,0,
1366,0,0,
1367,0,0,
1368,0,0,
1369,0,0,
1370,0,0,
1371,0,0,
1372,0,0,
1373,0,0,
1374,0,0,
1375,0,0,
1376,0.00550175,2.2007,
1377,0.02908,11.632,
1378,0.0750825,30.033,
1379,0.0835975,33.439,
1380,0.097365,38.946,
1381,0.1050475,42.019,
1382,0.06975,27.9,
1383,0.09782,39.128,
1384,0.0933075,37.323,
1385,0.09171,36.684,
1386,0.028435,11.374,
1387,0,0,
1388,0,0,
1389,0,0,
1390,0,0,
1391,0,0,
1392,0,0,
1393,0,0,
1394,0,0,
1395,0,0,
1396,0,0,
1397,0,0,
1398,0,0,
1399,0,0,
1400,0.00139975,0.5599,
1401,0.0594925,23.797,
1402,0.1385775,55.431,
1403,0.124805,49.922,
1404,0.11809,47.236,
1405,0.1939175,77.567,
1406,0.2326575,93.063,
1407,0.205265,82.106,
1408,0.1177525,47.101,
1409,0.0783075,31.323,
1410,0.0130055,5.2022,
1411,0,0,
1412,0,0,
1413,0,0,
1414,0,0,
1415,0,0,
1416,0,0,
1417,0,0,
1418,0,0,
1419,0,0,
1420,0,0,
1421,0,0,
1422,0,0,
1423,0,0,
1424,0,0,
1425,0.0420325,16.813,
1426,0.1297375,51.895,
1427,0.1288675,51.547,
1428,0.15513,62.052,
1429,0.1750075,70.003,
1430,0.1892125,75.685,
1431,0.127365,50.946,
1432,0.189325,75.73,
1433,0.1222775,48.911,
1434,0.044845,17.938,
1435,0,0,
1436,0,0,
1437,0,0,
1438,0,0,
1439,0,0,
1440,0,0,
1441,0,0,
1442,0,0,
1443,0,0,
1444,0,0,
1445,0,0,
1446,0,0,
1447,0,0,
1448,0.0241085,9.6434,
1449,0.1074975,42.999,
1450,0.2234525,89.381,
1451,0.332225,132.89,
1452,0.400275,160.11,
1453,0.418,167.2,
1454,0.345675,138.27,
1455,0.32735,130.94,
1456,0.1997175,79.887,
1457,0.094155,37.662,
1458,0.02245125,8.9805,
1459,0,0,
1460,0,0,
1461,0,0,
1462,0,0,
1463,0,0,
1464,0,0,
1465,0,0,
1466,0,0,
1467,0,0,
1468,0,0,
1469,0,0,
1470,0,0,
1471,0,0,
1472,0.01191125,4.7645,
