HourOfYear,FarmLoad_kWh,,,,
1060,22.08,,,,
1061,29.97,,,,
1062,22.27,,,,
1063,21.975,,,,
1064,21.955,,,,
1065,21.665,,,,
1066,35.245,,,,
1067,24.705,,,,
1068,33.165,,,,
1069,27.425,,,,
1070,43.185,,,,
1071,30.325,,,,
1072,34.17,,,,
1073,27.78,,,,
1074,35.765,,,,
1075,28.84,,,,
1076,36.71,,,,
1077,28.96,,,,
1078,28.87,,,,
1079,36.755,,,,
1080,28.105,,,,
1081,34.995,,,,
1082,28.535,,,,
1083,36.08,,,,
1084,28.205,,,,
1085,34.47,,,,
1086,28.125,,,,
1087,28.195,,,,
1088,28.2,,,,
1089,34.94,,,,
1090,36.265,,,,
1091,26.34,,,,
1092,33.5,,,,
1093,28.47,,,,
1094,38.005,,,,
1095,34.53,,,,
1096,40.405,,,,
1097,37.305,,,,
1098,43.11,,,,
1099,34.425,,,,
1100,39.315,,,,
1101,34.13,,,,
1102,33.8,,,,
1103,38.63,,,,
1104,33.285,,,,
1105,38.645,,,,
1106,33.44,,,,
1107,39.43,,,,
1108,33.045,,,,
1109,37.985,,,,
1110,32.95,,,,
1111,32.855,,,,
1112,32.775,,,,
1113,40.75,,,,
1114,46.785,,,,
1115,40.385,,,,
1116,42.74,,,,
1117,40.65,,,,
1118,45.825,,,,
1119,41.955,,,,
1120,46.61,,,,
1121,37.26,,,,
1122,41.165,,,,
1123,34.525,,,,
1124,40.535,,,,
1125,33.86,,,,
1126,33.84,,,,
1127,40.32,,,,
1128,33.88,,,,
1129,40.805,,,,
1130,34.325,,,,
1131,42.31,,,,
1132,33.92,,,,
1133,40.28,,,,
1134,33.83,,,,
1135,33.705,,,,
1136,33.555,,,,
1137,33.535,,,,
1138,40.025,,,,
1139,39.03,,,,
1140,45.015,,,,
1141,36.845,,,,
1142,33.6,,,,
1143,27.87,,,,
1144,37.635,,,,
1145,41.145,,,,
1146,46.835,,,,
1147,34.71,,,,
1148,42.535,,,,
1149,34.705,,,,
1150,34.62,,,,
1151,41.185,,,,
1152,34.87,,,,
1153,41.955,,,,
1154,34.685,,,,
1155,43.12,,,,
1156,34.345,,,,
1157,41.85,,,,
1158,34.265,,,,
1159,34.29,,,,
1160,34.12,,,,
1161,35.315,,,,
1162,42.735,,,,
1163,41.15,,,,
1164,48.63,,,,
1165,34.335,,,,
1166,42.225,,,,
1167,41.985,,,,
1168,44.25,,,,
1169,43.3,,,,
1170,43.235,,,,
1171,34.73,,,,
1172,41.805,,,,
1173,34.52,,,,
1174,34.63,,,,
1175,40.965,,,,
1176,34.54,,,,
1177,40.63,,,,
1178,34.525,,,,
1179,43.915,,,,
1180,34.415,,,,
1181,42.115,,,,
1182,34.325,,,,
1183,34.2,,,,
1184,34.31,,,,
1185,45.075,,,,
1186,49.805,,,,
1187,39.755,,,,
1188,44.92,,,,
1189,37.05,,,,
1190,47.9,,,,
1191,38.07,,,,
1192,48.075,,,,
1193,40.88,,,,
1194,44.89,,,,
1195,32.245,,,,
1196,41.02,,,,
1197,32.305,,,,
1198,31.705,,,,
1199,37.975,,,,
1200,31.395,,,,
1201,39.025,,,,
1202,31.55,,,,
1203,41.39,,,,
1204,31.495,,,,
1205,40.84,,,,
1206,31.435,,,,
1207,31.31,,,,
1208,31.38,,,,
1209,40.685,,,,
1210,43.375,,,,
1211,40.115,,,,
1212,45.71,,,,
1213,35.895,,,,
1214,46.87,,,,
1215,37.795,,,,
1216,49.38,,,,
1217,34.615,,,,
1218,41.845,,,,
1219,32.66,,,,
1220,41.975,,,,
1221,31.465,,,,
1222,31.585,,,,
1223,38.955,,,,
1224,31.475,,,,
1225,36.625,,,,
1226,31.51,,,,
1227,38.335,,,,
1228,31.42,,,,
1229,37.055,,,,
1230,31.355,,,,
1231,31.3,,,,
1232,31.27,,,,
1233,36.84,,,,
1234,43.78,,,,
1235,36.76,,,,
1236,40.555,,,,
1237,36.895,,,,
1238,36.15,,,,
1239,28.92,,,,
1240,35,,,,
1241,30.275,,,,
1242,37.84,,,,
1243,31.775,,,,
1244,38.815,,,,
1245,31.675,,,,
1246,31.065,,,,
1247,38.49,,,,
1248,30.865,,,,
1249,36.52,,,,
1250,30.99,,,,
1251,37.8,,,,
1252,30.75,,,,
1253,36.245,,,,
1254,30.665,,,,
1255,30.525,,,,
1256,30.51,,,,
1257,39.91,,,,
1258,46.63,,,,
1259,37.655,,,,
1260,41.55,,,,
1261,36.455,,,,
1262,43.985,,,,
1263,39.005,,,,
1264,46.16,,,,
1265,40.93,,,,
1266,39.875,,,,
1267,31.75,,,,
1268,39.79,,,,
1269,31.76,,,,
1270,31.775,,,,
1271,39.43,,,,
1272,31.385,,,,
1273,38.53,,,,
1274,31.555,,,,
1275,40.135,,,,
1276,31.165,,,,
1277,38.505,,,,
1278,31.425,,,,
1279,31.38,,,,
1280,31.215,,,,
1281,37.15,,,,
1282,41.045,,,,
1283,38.245,,,,
1284,44.845,,,,
1285,37.115,,,,
1286,37.09,,,,
1287,37.345,,,,
1288,45.42,,,,
1289,33.05,,,,
1290,38.155,,,,
1291,31.535,,,,
1292,39.16,,,,
1293,31.49,,,,
1294,31.48,,,,
1295,41.24,,,,
1296,31.365,,,,
1297,40.245,,,,
1298,31.59,,,,
1299,41.35,,,,
1300,31.455,,,,
1301,39.925,,,,
1302,31.5,,,,
1303,31.48,,,,
1304,35.03,,,,
1305,38.46,,,,
1306,40.15,,,,
1307,36.635,,,,
1308,37.165,,,,
1309,34.33,,,,
1310,34.605,,,,
1311,31.55,,,,
1312,23.115,,,,
1313,32.74,,,,
1314,38.695,,,,
1315,43.26,,,,
1316,39.315,,,,
1317,31.245,,,,
1318,31.18,,,,
1319,39.5,,,,
1320,31.15,,,,
1321,38.925,,,,
1322,31.095,,,,
1323,39.785,,,,
1324,30.905,,,,
1325,38.185,,,,
1326,31.19,,,,
1327,31.045,,,,
1328,31.025,,,,
1329,35.53,,,,
1330,46.1,,,,
1331,35.85,,,,
1332,41.11,,,,
1333,33.785,,,,
1334,42.48,,,,
1335,35.23,,,,
1336,41.315,,,,
1337,31.82,,,,
1338,46.515,,,,
1339,33.23,,,,
1340,42.245,,,,
1341,30.92,,,,
1342,30.77,,,,
1343,40.235,,,,
1344,31.035,,,,
1345,39.195,,,,
1346,31.07,,,,
1347,41.02,,,,
1348,30.685,,,,
1349,39.315,,,,
1350,31.005,,,,
1351,30.86,,,,
1352,30.73,,,,
1353,37.6,,,,
1354,48.475,,,,
